TeamId,TeamName,SubmissionDate,Score
1017243,"Hainanese Chicken","2017-10-25 23:48:31",0.99970
1017246,Lucretia,"2017-10-26 16:01:27",0.99970
1038833,bhdeng,"2017-10-27 15:19:05",0.99970
1033763,YeqingLin,"2017-10-27 01:50:01",0.99901
1009084,BoLu,"2017-10-26 20:12:26",0.99901
1034204,JesseHalpern,"2017-10-27 16:21:43",0.99901
998009,"Kaitao Wu","2017-10-26 18:16:18",0.99749
1038830,"Amy C","2017-10-27 16:11:46",0.99706
1022856,"Zheng Chen","2017-10-27 01:01:50",0.99705
1018390,jyqing,"2017-10-25 15:05:06",0.99705
1020599,"Yan Li","2017-10-27 00:56:32",0.99705
997418,gaoz,"2017-10-25 13:40:50",0.99705
1033947,JuliaLynn,"2017-10-27 17:14:38",0.99705
1034170,alexans,"2017-10-26 02:13:39",0.99705
1034471,"Ben Abood","2017-10-27 01:12:58",0.99705
1034579,"Xinyi Wu","2017-10-26 03:47:26",0.99705
1038226,"Justin Chang","2017-10-26 21:45:38",0.99705
997417,flatcat,"2017-10-27 05:12:31",0.99705
997405,thorrez,"2017-10-27 00:59:56",0.99705
1023832,"Jiaxin Li","2017-10-27 02:09:28",0.99705
997408,"Wei Hu","2017-10-27 17:44:31",0.99705
1039904,"Yaohua Shi","2017-10-27 10:01:01",0.99705
1040094,jbochu,"2017-10-27 11:37:31",0.99705
1034065,JiaqingNi,"2017-10-27 16:13:35",0.99705
1037448,mngordon,"2017-10-27 03:13:29",0.99705
1018608,"Edward Wijaya","2017-10-21 07:08:18",0.99705
1002506,yuet,"2017-10-27 20:10:36",0.99705
1033385,Slowbro,"2017-10-27 03:35:12",0.99705
1041402,zzkddkwx,"2017-10-27 20:50:58",0.99704
1014102,chhaoyu,"2017-10-23 22:05:29",0.99704
1023786,esolarz,"2017-10-26 04:32:21",0.99702
1017398,"Abhi Muchhal","2017-10-27 16:46:54",0.99702
1016098,calvinliu,"2017-10-27 20:48:39",0.99701
1037756,"Alex Shore","2017-10-27 20:02:51",0.99699
1017847,"John Murphy","2017-10-27 18:26:23",0.99676
1020492,"He Zhang","2017-10-26 00:46:16",0.99670
1035570,"Hengjia Zhang","2017-10-27 16:34:47",0.99661
1038392,"Cameron Gagnon","2017-10-27 16:04:22",0.99656
1038917,simonliu,"2017-10-27 18:21:34",0.99606
1019764,CocoLi,"2017-10-27 14:58:36",0.99559
1040701,"Xu Han","2017-10-27 20:21:56",0.99523
1037887,TianleLu,"2017-10-27 00:07:02",0.99444
1022230,"xinheng chen","2017-10-27 16:38:28",0.99444
1039030,chhuzzz,"2017-10-27 21:49:23",0.99407
1038035,YinNingWong,"2017-10-27 00:25:28",0.99366
1037633,"Georland Shu","2017-10-27 18:22:24",0.99217
1030726,YaohuaShi,"2017-10-26 13:37:23",0.99168
1030381,"Gagan Gupta","2017-10-24 23:56:13",0.98922
1030125,jiangzha,"2017-10-26 23:03:46",0.98793
1038380,GuangyuWang,"2017-10-27 01:52:15",0.98774
1030469,"Luke Ross","2017-10-27 20:44:35",0.98469
1038549,"Julia Reid","2017-10-27 00:47:58",0.95997
1021065,"Jake Hage","2017-10-23 23:07:24",0.95577
1034030,"Yixiao Peng","2017-10-26 01:15:47",0.89438
1041676,"Varun Rana","2017-10-27 22:35:25",0.50335
997419,Cuphead,"2017-10-13 18:54:15",0.50000
1039615,JulianJackson,"2017-10-27 20:48:09",0.49787
